"X","GeneSymbol","padj","log2FoldChange","diffexpressed","gene.label"
177,"Cs",0.549873058467094,0.0715697830509378,NA,NA
178,"Csf3r",0.438619967742837,-0.28080910756177,NA,NA
179,"Ctcf",0.126993530367366,-0.0795257128194202,NA,NA
180,"Ctla4",0.116898961981011,-0.61939599778503,NA,NA
181,"Ctps",0.00268504853772934,0.893984325390956,"UP","Ctps"
182,"Ctsa",0.806213748622717,-0.0796171680633679,NA,NA
183,"Ctsd",0.108807290142619,0.404344500952666,NA,NA
184,"Ctsl",0.00626638185651918,1.29730757001928,"UP","Ctsl"
185,"Ctss",0.811455150092914,-0.0805434273105489,NA,NA
186,"Ctsw",0.00506332367381797,-0.332575339086871,NA,NA
187,"Ctsz",0.138338881193047,0.260241791698461,NA,NA
188,"Cxcl9",0.264244523520643,-1.50286142050626,NA,NA
189,"Cxcr6",0.579970495618992,-0.113210610447991,NA,NA
190,"Cybb",0.420787237494387,-0.236440195822081,NA,NA
191,"Cyp1a1",0.448444007774194,-0.222392421336448,NA,NA
192,"Cyp1a2",0.00746107778146054,-0.356143810225275,NA,NA
193,"Cyp1b1",0.893677683663105,-0.0466500932988213,NA,NA
194,"Cyp4a10",0.770145608646102,0.0911478880581951,NA,NA
195,"Cyp4a12a",0.197460342557663,-0.234465253637023,NA,NA
196,"Cyp8b1",0.300032636329201,-0.341788517248205,NA,NA
197,"D2hgdh",0.244153763392375,-0.140930041398241,NA,NA
198,"Dao",0.930913806436932,-0.0129390557074983,NA,NA
199,"Dck",0.295648857020927,0.227410496103072,NA,NA
